source,target_rel,case_id,case_name,citation,year,changed
"/Users/ronaldchapman/Library/Mobile Documents/iCloud~md~obsidian/Documents/Supreme Court/Ontology/precedent_vault/cases/scotus/0000/Case Case Acheson Hotels, Llc v. Laufer, 200 U.S. 321 (2023) [us.scotus.2023.acheson_hotels_llc.200us321], Unknown citation (0000), Unknown citation (0000).md","2023/Acheson Hotels, Llc v. Laufer, 200 U.S. 321 (2023).md",us.scotus.2023.acheson_hotels_llc.200us321,"Acheson Hotels, Llc v. Laufer",200 U.S. 321,2023,True
"/Users/ronaldchapman/Library/Mobile Documents/iCloud~md~obsidian/Documents/Supreme Court/Ontology/precedent_vault/cases/scotus/0000/Case Case Advocate Christ Medical Center et al. v. Kennedy, Secretary of Health and Human Services, 200 U.S. 321 (2025) [us.scotus.2025.advocate_christ_medical_center_e.200us321], Unknown citation (0000), Unknown citation (0000).md","2025/Advocate Christ Medical Center et al. v. Kennedy, Secretary of Health and Human Services, 200 U.S. 321 (2025).md",us.scotus.2025.advocate_christ_medical_center_e.200us321,"Advocate Christ Medical Center et al. v. Kennedy, Secretary of Health and Human Services",200 U.S. 321,2025,True
"/Users/ronaldchapman/Library/Mobile Documents/iCloud~md~obsidian/Documents/Supreme Court/Ontology/precedent_vault/cases/scotus/0000/Case Case Arizona State Legislature v. Arizona Independent Redistricting Commission et Al, 200 U.S. 321 (2015) [us.scotus.2015.arizona_state_legislature.200us321], Unknown citation (0000), Unknown citation (0000).md","2015/Arizona State Legislature v. Arizona Independent Redistricting Commission et Al, 200 U.S. 321 (2015).md",us.scotus.2015.arizona_state_legislature.200us321,Arizona State Legislature v. Arizona Independent Redistricting Commission et Al,200 U.S. 321,2015,True
"/Users/ronaldchapman/Library/Mobile Documents/iCloud~md~obsidian/Documents/Supreme Court/Ontology/precedent_vault/cases/scotus/0000/Case Case Brenda Evers Andrew v. Tamika White, Warden, 501 U.S. 808 (2025) [us.scotus.2025.brenda_evers_andrew.501us808], Unknown citation (0000), Unknown citation (0000).md","2025/Brenda Evers Andrew v. Tamika White, Warden, 501 U.S. 808 (2025).md",us.scotus.2025.brenda_evers_andrew.501us808,"Brenda Evers Andrew v. Tamika White, Warden",501 U.S. 808,2025,True
"/Users/ronaldchapman/Library/Mobile Documents/iCloud~md~obsidian/Documents/Supreme Court/Ontology/precedent_vault/cases/scotus/0000/Case Case Chadbourne & Parke Llp v. Troice et Al, 200 U.S. 321 (2014) [us.scotus.2014.chadbourne_parke_llp.200us321], Unknown citation (0000), Unknown citation (0000).md","2014/Chadbourne & Parke Llp v. Troice et Al, 200 U.S. 321 (2014).md",us.scotus.2014.chadbourne_parke_llp.200us321,Chadbourne & Parke Llp v. Troice et Al,200 U.S. 321,2014,True
"/Users/ronaldchapman/Library/Mobile Documents/iCloud~md~obsidian/Documents/Supreme Court/Ontology/precedent_vault/cases/scotus/0000/Case Case Comptroller of Treasury of Md. v. Wynne, 200 U.S. 321 (2015), Unknown citation (0000), Unknown citation (0000).md","2015/Comptroller of Treasury of Md. v. Wynne, 200 U.S. 321 (2015).md",us.scotus.2015.13_485.200us321,Comptroller of Treasury of Md. v. Wynne,200 U.S. 321,2015,True
"/Users/ronaldchapman/Library/Mobile Documents/iCloud~md~obsidian/Documents/Supreme Court/Ontology/precedent_vault/cases/scotus/0000/Case Case Decker, Oregon State Forester, et al. v. Northwest Environmental Defense Center, 200 U.S. 321 (2013) [us.scotus.2013.decker_oregon_state_forester_et_.200us321], Unknown citation (0000), Unknown citation (0000).md","2013/Decker, Oregon State Forester, et al. v. Northwest Environmental Defense Center, 200 U.S. 321 (2013).md",us.scotus.2013.decker_oregon_state_forester_et_.200us321,"Decker, Oregon State Forester, et al. v. Northwest Environmental Defense Center",200 U.S. 321,2013,True
"/Users/ronaldchapman/Library/Mobile Documents/iCloud~md~obsidian/Documents/Supreme Court/Ontology/precedent_vault/cases/scotus/0000/Case Case Dietz v. Bouldin, 200 U.S. 321 (2016) [us.scotus.2016.dietz.200us321], Unknown citation (0000), Unknown citation (0000).md","2016/Dietz v. Bouldin, 200 U.S. 321 (2016).md",us.scotus.2016.dietz.200us321,Dietz v. Bouldin,200 U.S. 321,2016,True
"/Users/ronaldchapman/Library/Mobile Documents/iCloud~md~obsidian/Documents/Supreme Court/Ontology/precedent_vault/cases/scotus/0000/Case Case Edwards v. Vannoy, Warden, 200 U.S. 321 (2021) [us.scotus.2021.edwards.200us321], Unknown citation (0000), Unknown citation (0000).md","2021/Edwards v. Vannoy, Warden, 200 U.S. 321 (2021).md",us.scotus.2021.edwards.200us321,"Edwards v. Vannoy, Warden",200 U.S. 321,2021,True
"/Users/ronaldchapman/Library/Mobile Documents/iCloud~md~obsidian/Documents/Supreme Court/Ontology/precedent_vault/cases/scotus/0000/Case Case Environmental Protection Agency v. Calumet Shreveport Refining, L.l.c., et Al, 200 U.S. 321 (2025) [us.scotus.2025.environmental_protection_agency.200us321], Unknown citation (0000), Unknown citation (0000).md","2025/Environmental Protection Agency v. Calumet Shreveport Refining, L.l.c., et Al, 200 U.S. 321 (2025).md",us.scotus.2025.environmental_protection_agency.200us321,"Environmental Protection Agency v. Calumet Shreveport Refining, L.l.c., et Al",200 U.S. 321,2025,True
"/Users/ronaldchapman/Library/Mobile Documents/iCloud~md~obsidian/Documents/Supreme Court/Ontology/precedent_vault/cases/scotus/0000/Case Case Estate of Barnes, Deceased v. Felix et Al, 200 U.S. 321 (2025) [us.scotus.2025.estate_of_barnes_deceased.200us321], Unknown citation (0000), Unknown citation (0000).md","2025/Estate of Barnes, Deceased v. Felix et Al, 200 U.S. 321 (2025).md",us.scotus.2025.estate_of_barnes_deceased.200us321,"Estate of Barnes, Deceased v. Felix et Al",200 U.S. 321,2025,True
"/Users/ronaldchapman/Library/Mobile Documents/iCloud~md~obsidian/Documents/Supreme Court/Ontology/precedent_vault/cases/scotus/0000/Case Case Et al. v. Alliance for Open Society International, Inc., et Al, 200 U.S. 321 (2013), Unknown citation (0000), Unknown citation (0000).md","2013/Et al. v. Alliance for Open Society International, Inc., et Al, 200 U.S. 321 (2013).md",us.scotus.2013.et_al.200us321,"Et al. v. Alliance for Open Society International, Inc., et Al",200 U.S. 321,2013,True
"/Users/ronaldchapman/Library/Mobile Documents/iCloud~md~obsidian/Documents/Supreme Court/Ontology/precedent_vault/cases/scotus/0000/Case Case Federal Trade Commission v. Actavis, Inc., et Al, Unknown citation (2013), Unknown citation (0000), Unknown citation (0000).md","2013/Federal Trade Commission v. Actavis, Inc., et al, Unknown citation (2013).md",us.scotus.2013.federal_trade_commission.12416,"Federal Trade Commission v. Actavis, Inc., et al",Unknown citation,2013,True
"/Users/ronaldchapman/Library/Mobile Documents/iCloud~md~obsidian/Documents/Supreme Court/Ontology/precedent_vault/cases/scotus/0000/Case Case Fulton et al. v. City of Philadelphia, Pennsylvania, et Al, 200 U.S. 321 (2021) [us.scotus.2021.fulton_et_al.200us321], Unknown citation (0000), Unknown citation (0000).md","2021/Fulton et al. v. City of Philadelphia, Pennsylvania, et Al, 200 U.S. 321 (2021).md",us.scotus.2021.fulton_et_al.200us321,"Fulton et al. v. City of Philadelphia, Pennsylvania, et Al",200 U.S. 321,2021,True
"/Users/ronaldchapman/Library/Mobile Documents/iCloud~md~obsidian/Documents/Supreme Court/Ontology/precedent_vault/cases/scotus/0000/Case Case Halo Electronics, Inc. v. Pulse Electronics, Inc., et Al, 200 U.S. 321 (2016) [us.scotus.2016.halo_electronics_inc.200us321], Unknown citation (0000), Unknown citation (0000).md","2016/Halo Electronics, Inc. v. Pulse Electronics, Inc., et Al, 200 U.S. 321 (2016).md",us.scotus.2016.halo_electronics_inc.200us321,"Halo Electronics, Inc. v. Pulse Electronics, Inc., et Al",200 U.S. 321,2016,True
"/Users/ronaldchapman/Library/Mobile Documents/iCloud~md~obsidian/Documents/Supreme Court/Ontology/precedent_vault/cases/scotus/0000/Case Case Husband Kiobel, et al. v. Royal Dutch Petroleum Co. et Al, 200 U.S. 321 (2013) [us.scotus.2013.husband_kiobel_et_al.200us321], Unknown citation (0000), Unknown citation (0000).md","2013/Husband Kiobel, et al. v. Royal Dutch Petroleum Co. et Al, 200 U.S. 321 (2013).md",us.scotus.2013.husband_kiobel_et_al.200us321,"Husband Kiobel, et al. v. Royal Dutch Petroleum Co. et Al",200 U.S. 321,2013,True
"/Users/ronaldchapman/Library/Mobile Documents/iCloud~md~obsidian/Documents/Supreme Court/Ontology/precedent_vault/cases/scotus/0000/Case Case Kennedy v. Bremerton School District, 200 U.S. 321 (2022) [us.scotus.2022.kennedy.200us321], Unknown citation (0000), Unknown citation (0000).md","2022/Kennedy v. Bremerton School District, 200 U.S. 321 (2022).md",us.scotus.2022.kennedy.200us321,Kennedy v. Bremerton School District,200 U.S. 321,2022,True
"/Users/ronaldchapman/Library/Mobile Documents/iCloud~md~obsidian/Documents/Supreme Court/Ontology/precedent_vault/cases/scotus/0000/Case Case Knox et al. v. Service Employees International Union, Local 1000, 200 U.S. 321 (2012) [us.scotus.2012.knox_et_al.200us321], Unknown citation (0000), Unknown citation (0000).md","2012/Knox et al. v. Service Employees International Union, Local 1000, 200 U.S. 321 (2012).md",us.scotus.2012.knox_et_al.200us321,"Knox et al. v. Service Employees International Union, Local 1000",200 U.S. 321,2012,True
"/Users/ronaldchapman/Library/Mobile Documents/iCloud~md~obsidian/Documents/Supreme Court/Ontology/precedent_vault/cases/scotus/0000/Case Case Liu et al. v. Securities and Exchange Commission, 200 U.S. 321 (2020) [us.scotus.2020.liu_et_al.200us321], Unknown citation (0000), Unknown citation (0000).md","2020/Liu et al. v. Securities and Exchange Commission, 200 U.S. 321 (2020).md",us.scotus.2020.liu_et_al.200us321,Liu et al. v. Securities and Exchange Commission,200 U.S. 321,2020,True
"/Users/ronaldchapman/Library/Mobile Documents/iCloud~md~obsidian/Documents/Supreme Court/Ontology/precedent_vault/cases/scotus/0000/Case Case Mahanoy Area School District v. B. L., a Minor, By and Through Her Father, Levy, et Al, 200 U.S. 321 (2021) [us.scotus.2021.mahanoy_area_school_district.200us321], Unknown citation (0000), Unknown citation (0000).md","2021/Mahanoy Area School District v. B. L., a Minor, By and Through Her Father, Levy, et Al, 200 U.S. 321 (2021).md",us.scotus.2021.mahanoy_area_school_district.200us321,"Mahanoy Area School District v. B. L., a Minor, By and Through Her Father, Levy, et Al",200 U.S. 321,2021,True
"/Users/ronaldchapman/Library/Mobile Documents/iCloud~md~obsidian/Documents/Supreme Court/Ontology/precedent_vault/cases/scotus/0000/Case Case Medina v. Planned Parenthood South Atlantic, 200 U.S. 321 (2025), Unknown citation (0000), Unknown citation (0000).md","2025/Medina v. Planned Parenthood South Atlantic, 200 U.S. 321 (2025).md",us.scotus.2025.23_1275.200us321,Medina v. Planned Parenthood South Atlantic,200 U.S. 321,2025,True
"/Users/ronaldchapman/Library/Mobile Documents/iCloud~md~obsidian/Documents/Supreme Court/Ontology/precedent_vault/cases/scotus/0000/Case Case Mississippi Department of Health, et al. v. Jackson Women’s Health Organization et Al, 200 U.S. 321 (2022) [us.scotus.2022.mississippi_department_of_health.200us321], Unknown citation (0000), Unknown citation (0000).md","2022/Mississippi Department of Health, et al. v. Jackson Women’s Health Organization et Al, 200 U.S. 321 (2022).md",us.scotus.2022.mississippi_department_of_health.200us321,"Mississippi Department of Health, et al. v. Jackson Women’s Health Organization et Al",200 U.S. 321,2022,True
"/Users/ronaldchapman/Library/Mobile Documents/iCloud~md~obsidian/Documents/Supreme Court/Ontology/precedent_vault/cases/scotus/0000/Case Case Rjr Nabisco, Inc., et al. v. European Community et Al, 200 U.S. 321 (2016) [us.scotus.2016.rjr_nabisco_inc_et_al.200us321], Unknown citation (0000), Unknown citation (0000).md","2016/Rjr Nabisco, Inc., et al. v. European Community et Al, 200 U.S. 321 (2016).md",us.scotus.2016.rjr_nabisco_inc_et_al.200us321,"Rjr Nabisco, Inc., et al. v. European Community et Al",200 U.S. 321,2016,True
"/Users/ronaldchapman/Library/Mobile Documents/iCloud~md~obsidian/Documents/Supreme Court/Ontology/precedent_vault/cases/scotus/0000/Case Case Salinas v. Texas, 200 U.S. 321 (2017) [us.scotus.2017.salinas.200us321], Unknown citation (0000), Unknown citation (0000).md","2017/Salinas v. Texas, 200 U.S. 321 (2017).md",us.scotus.2017.salinas.200us321,Salinas v. Texas,200 U.S. 321,2017,True
"/Users/ronaldchapman/Library/Mobile Documents/iCloud~md~obsidian/Documents/Supreme Court/Ontology/precedent_vault/cases/scotus/0000/Case Case Shurtleff et al. v. City of Boston et Al, 200 U.S. 321 (2022) [us.scotus.2022.shurtleff_et_al.200us321], Unknown citation (0000), Unknown citation (0000).md","2022/Shurtleff et al. v. City of Boston et Al, 200 U.S. 321 (2022).md",us.scotus.2022.shurtleff_et_al.200us321,Shurtleff et al. v. City of Boston et Al,200 U.S. 321,2022,True
"/Users/ronaldchapman/Library/Mobile Documents/iCloud~md~obsidian/Documents/Supreme Court/Ontology/precedent_vault/cases/scotus/0000/Case Case United States v. Arthrex, Inc. et Al, 200 U.S. 321 (2021), Unknown citation (0000), Unknown citation (0000).md","2021/United States v. Arthrex, Inc. et Al, 200 U.S. 321 (2021).md",us.scotus.2021.united_states.200us321,"United States v. Arthrex, Inc. et Al",200 U.S. 321,2021,True
"/Users/ronaldchapman/Library/Mobile Documents/iCloud~md~obsidian/Documents/Supreme Court/Ontology/precedent_vault/cases/scotus/0000/Case Case Young v. United Parcel Service, Inc, 200 U.S. 321 (2015) [us.scotus.2015.young.200us321], Unknown citation (0000), Unknown citation (0000).md","2015/Young v. United Parcel Service, Inc, 200 U.S. 321 (2015).md",us.scotus.2015.young.200us321,"Young v. United Parcel Service, Inc",200 U.S. 321,2015,True
"/Users/ronaldchapman/Library/Mobile Documents/iCloud~md~obsidian/Documents/Supreme Court/Ontology/precedent_vault/cases/scotus/0000/Case Doyle Lee Hamm v. Jefferson S. Dunn, Commissioner, Alabama Depart- Ment of Corrections, et Al, 553 U.S. 2 (2018), Unknown citation (0000).md","2018/Doyle Lee Hamm v. Jefferson S. Dunn, Commissioner, Alabama Depart- Ment of Corrections, et al, 553 U.S. 2 (2018).md",us.scotus.2018.doyle_lee_hamm.553us2,"Doyle Lee Hamm v. Jefferson S. Dunn, Commissioner, Alabama Depart- Ment of Corrections, et al",553 U.S. 2,2018,True
"/Users/ronaldchapman/Library/Mobile Documents/iCloud~md~obsidian/Documents/Supreme Court/Ontology/precedent_vault/cases/scotus/2011/Cheetam, Christopher v. State Farm Fire & Casualty Co, 506 U.S. 1 (2011).md","2011/Cheetam, Christopher v. State Farm Fire & Casualty Co, 506 U.S. 1 (2011).md",us.scotus.2011.10_9647.506us1,"Cheetam, Christopher v. State Farm Fire & Casualty Co",506 U.S. 1,2011,False
"/Users/ronaldchapman/Library/Mobile Documents/iCloud~md~obsidian/Documents/Supreme Court/Ontology/precedent_vault/cases/scotus/2011/David Bobby, Warden v. Archie Dixon, 565 U.S. ____ (2011).md","2011/David Bobby, Warden v. Archie Dixon, 565 U.S. ____ (2011).md",us.scotus.2011.david_bobby_warden.101540,"David Bobby, Warden v. Archie Dixon",565 U.S. ____,2011,False
"/Users/ronaldchapman/Library/Mobile Documents/iCloud~md~obsidian/Documents/Supreme Court/Ontology/precedent_vault/cases/scotus/2011/Dept. of H&hs, et al. v. Florida, et al, Unknown citation (2011).md","2011/Dept. of H&hs, et al. v. Florida, et al, Unknown citation (2011).md",us.scotus.2011.11_398.11398,"Dept. of H&hs, et al. v. Florida, et al",Unknown citation,2011,False
